vizitNumber,stageNumber,stageName,questionId,questionTitle,answerId,answers,answerType,timestamp
1,1,Социально-демографические данные пациента,0,Пол,0,мужской,InputRadio,
1,1,Социально-демографические данные пациента,0,Пол,1,женский,InputRadio,
1,1,Социально-демографические данные пациента,1,Возраст,0,,InputSelectNum,
1,1,Социально-демографические данные пациента,2,Рост,0,,InputSelectNum,
1,1,Социально-демографические данные пациента,3,Вес,0,,InputSelectNum,
1,1,Социально-демографические данные пациента,4,ИМТ,0,,AutoNumber,
1,1,Социально-демографические данные пациента,5,Уровень дохода,0,низкий,InputRadio,
1,1,Социально-демографические данные пациента,5,Уровень дохода,1,средний,InputRadio,
1,1,Социально-демографические данные пациента,5,Уровень дохода,2,высокий,InputRadio,
1,1,Социально-демографические данные пациента,6,Образование,0,среднее,InputRadio,
1,1,Социально-демографические данные пациента,6,Образование,1,средне-специальное,InputRadio,
1,1,Социально-демографические данные пациента,6,Образование,2,без образования,InputRadio,
1,1,Социально-демографические данные пациента,7,Регион РФ,0,Москва и Московская область,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,1,Свердловская обл,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,2,Новосибирская обл,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,3,Нижегородская обл,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,4,Республика Татарстан,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,5,Челябинская обл,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,6,Самарская обл,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,7,Ленинградская обл,DropdownList,
1,1,Социально-демографические данные пациента,7,Регион РФ,8,Краснодарский край,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,0,Апрелевка,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,1,Балашиха,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,2,Бронницы,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,3,Верея,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,4,Видное,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,5,Волоколамск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,6,Воскресенск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,7,Высоковск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,8,Голицыно,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,9,Дедовск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,10,Дзержинский,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,11,Дмитров,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,12,Долгопрудный,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,13,Домодедово,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,14,Дрезна,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,15,Дубна,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,16,Егорьевск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,17,Жуковский,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,18,Зарайск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,19,Звенигород,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,20,Ивантеевка,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,21,Истра,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,22,Кашира,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,23,Клин,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,24,Коломна,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,25,Королёв,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,26,Котельники,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,27,Красноармейск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,28,Красногорск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,29,Краснозаводск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,30,Краснознаменск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,31,Кубинка,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,32,Куровское,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,33,Ликино-Дулёво,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,34,Лобня,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,35,Лосино-Петровский,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,36,Луховицы,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,37,Лыткарино,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,38,Люберцы,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,39,Можайск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,40,Мытищи,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,41,Наро-Фоминск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,42,Ногинск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,43,Одинцово,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,44,Озёры,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,45,Орехово-Зуево,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,46,Павловский Посад,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,47,Пересвет,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,48,Подольск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,49,Протвино,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,50,Пушкино,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,51,Пущино,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,52,Раменское,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,53,Реутов,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,54,Рошаль,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,55,Руза,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,56,Сергиев Посад,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,57,Серпухов,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,58,Солнечногорск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,59,Старая Купавна,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,60,Ступино,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,61,Талдом,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,62,Фрязино,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,63,Химки,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,64,Хотьково,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,65,Черноголовка,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,66,Чехов,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,67,Шатура,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,68,Щёлково,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,69,Электрогорск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,70,Электросталь,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,71,Электроугли,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,72,Яхрома,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,73,Абинск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,74,Анапа,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,75,Апшеронск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,76,Армавир,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,77,Белореченск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,78,Геленджик,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,79,Горячий Ключ,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,80,Гулькевичи,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,81,Ейск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,82,Кореновск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,83,Краснодар,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,84,Кропоткин,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,85,Крымск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,86,Курганинск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,87,Лабинск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,88,Новокубанск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,89,Новороссийск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,90,Приморско-Ахтарск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,91,Славянск-на-Кубани,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,92,Сочи,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,93,Темрюк,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,94,Тимашёвск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,95,Тихорецк,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,96,Туапсе,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,97,Усть-Лабинск,DropdownList,
1,1,Социально-демографические данные пациента,8,Город,98,Хадыженск,DropdownList,
1,2,Социально-демографические данные пациента,0,Кодирование по МКБ‑10,0,K21.0 Гастроэзофагеальный рефлюкс с эзофагитом (рефлюкс-эзофагит),InputRadio,
1,2,Социально-демографические данные пациента,0,Кодирование по МКБ‑11,1,K22.1 Язва пищевода (Эрозия пищевода) ,InputRadio,
1,2,Социально-демографические данные пациента,0,Кодирование по МКБ‑12,2,K22.7 Пищевод Барретта,InputRadio,
1,2,Социально-демографические данные пациента,1,"Стаж заболевания (К21.0, К22.1, К22.7)",0,Менее 1 года,InputRadio,
1,2,Социально-демографические данные пациента,1,"Стаж заболевания (К21.0, К22.1, К22.7)",1,1-3 года,InputRadio,
1,2,Социально-демографические данные пациента,1,"Стаж заболевания (К21.0, К22.1, К22.7)",2,4-7 лет,InputRadio,
1,2,Социально-демографические данные пациента,1,"Стаж заболевания (К21.0, К22.1, К22.7)",3,8-10 лет,InputRadio,
1,2,Социально-демографические данные пациента,1,"Стаж заболевания (К21.0, К22.1, К22.7)",4,более 10 лет,InputRadio,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,0,Изжога,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,1,Регургитация,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,2,Отрыжка,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,3,Срыгивания,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,4,Одинофагия,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,5,Дисфагия,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,6,Бронхиальная астма,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,7,Хронический ларингит,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,8,Осиплость голоса,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,9,Хронический сухой кашель,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,10,Эрозии зубной эмали,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,11,Афтозный стоматит,InputCheckbox,
1,2,Социально-демографические данные пациента,2,Просим Вас отметить сохраняющиеся на данный момент клинические проявления эрозивной формой ГЭРБ,12,"Боли в груди по ходу пищевода, не связанные с физической нагрузкой",InputCheckbox,
1,2,Социально-демографические данные пациента,3,"Симптомы эрозивного эзофагита (например, изжога, отрыжка) чаще всего возникают:",0,Днем,InputRadio,
1,2,Социально-демографические данные пациента,3,"Симптомы эрозивного эзофагита (например, изжога, отрыжка) чаще всего возникают:",1,Ночью,InputRadio,
1,3,Социально-демографические данные пациента,0,Степень рефлюкс-эзофагита (согласно Лос-Анджелесской классификации),0,"степень А – поражение слизистой оболочки в пределах ее складок, при этом размер каждого участка поражения не превышает 5 мм",InputRadio,
1,3,Социально-демографические данные пациента,0,Степень рефлюкс-эзофагита (согласно Лос-Анджелесской классификации),1,"степень В – размер, по крайней мере, одного участка поражения превышает 5 мм; поражение в пределах одной складки, но не соединяет две складки",InputRadio,
1,3,Социально-демографические данные пациента,0,Степень рефлюкс-эзофагита (согласно Лос-Анджелесской классификации),2,"степень С – участки поражения соединены между вершинами двух или более складок, но в процесс вовлечено менее 75% окружности пищевода",InputRadio,
1,3,Социально-демографические данные пациента,0,Степень рефлюкс-эзофагита (согласно Лос-Анджелесской классификации),3,степень D – участки поражения охватывают не менее 75% окружности пищевода,InputRadio,
1,3,Социально-демографические данные пациента,1,Соответствие критериям включения,0,Да,InputRadio,
